id,company,post_title,post_date,post_text,tipo,assunto,modelo,post_likes,post_comments,post_video_views,post_hashtags,origin
53,dextra-digital,,2020-06-03,Mais uma ótima notícia. Seja bem-vinda Tekoa! #somostodosmutant',crescimento,compra Tekoa,post,22,0,0,#somostodosmutant',linkedin
54,dextra-digital,,2020-08-02,"Daqui a pouquinho as 18:30 começará o nosso MeetUP Estimando em tempos de ""No Estimate"" com Carlos Almeida - Head of Product at Movidesk, Fabiana Varejão Viana Manager at OLX Brasil , Andre Molero - Agile Coach at Dextra , Catia Alves Zacarias - PMO Ágil at Edenred Soluções Pré-Pagas e com mediação de Théo Patrizi - Project Manager at Dextra. Confira:'",técnico,agilidade,webinar,29,1,0,,linkedin
55,dextra-digital,,2020-08-02,"Hoje é o dia de #tbt da nossa live Ágil para Valer que foi um sucesso. Um bate-papo muito rico com Bill Coutinho, Diretor de Inovação da Dextra, Carlos Alberto Jayme, Diretor de Crescimento da Dextra, Roberto Rubio Potzmann, CTO da Rumo Boanerges Corado Neto, Diretor Geral da Sascar:'",negócios,agilidade,webinar,38,0,0,#tbt,linkedin
56,dextra-digital,,2020-08-02,Novas oportunidades de negócio chegando no Brasil! Novo sistema do Banco Central simplifica pagamentos digitais e acelera transferências de valores entre pessoas e empresas. Saiba mais nesse texto do nosso blog:',negócios,PIX,artigo,119,2,0,,linkedin
57,dextra-digital,,2020-09-01,O maior evento tecnologia de Campinas chega a sua 8ª edição com o formato 100% online e gratuito. Confira um pouco mais sobre a história e se inscreva para não perder nenhum dia: https://bit.ly/3g8dMM9',técnico,DevCamp ,artigo,72,2,0,,linkedin
59,dextra-digital,,2020-09-01,"Quer conhecer como é o nosso programa de estágio pela voz de quem já passou ou ainda passa pela experiência? Vem com a gente na nossa próxima live!Inscreva-se no programa de estágio aqui: https://lnkd.in/dFsqua7É nesta sexta-feira (14), das 18h às 19h30.'",employer branding,programa estágio,post,51,0,0,,linkedin
60,dextra-digital,,2020-09-01,Revolução se faz em grupo. Garanta seu lugar na live!',branding,Rebranding da Marca,post,11,0,0,,linkedin
61,dextra-digital,,2020-09-01,A REVOLUÇÃO NÃO PEDE LICENÇA. Live! 20.08. Entre e confirme sua presença!',branding,Rebranding da Marca,post,9,0,0,,linkedin
62,dextra-digital,,2020-08-02,"""Ajudamos a Arcos Dorados a reduzir perdas e desperdícios modernizando módulos de um grande sistema, capaz de controlar o inventário dos restaurantes McDonald's.Entenda como!""",negócios,estratégia digital,case,77,0,0,,linkedin
63,dextra-digital,,2020-08-02,"O que uma empresa deve fazer para gerar novos negócios e conquistar clientes a partir de produtos digitais? No artigo de hoje, O nosso CDO, Luis Dosso, explica um pouco sobre o que é ‘estratégia digital’ e como tirá-la do papel. #EstratégiaDigital'",negócios,estratégia digital,artigo,40,0,0,#EstratégiaDigital',linkedin
65,dextra-digital,,2020-06-03,Mais uma novidade do Grupo: Tekoa agora é ZOLY! #somostodosmutant',crescimento,compra Tekoa,post,23,0,0,#somostodosmutant',linkedin
66,dextra-digital,,2020-08-02,"A taxa de sucesso de ativação é um dos indicadores de produto digital mais importantes. Ignorar este indicador pode resultar em um impacto negativo para a marca, já que causa uma experiência ruim do cliente logo nos primeiros passos de uso com o produto digital. Saiba mais como o Growth pode melhorar essa experiência e provocar resultados positivos no texto da Ana Cristine Veneziani no nosso blog:'",negócios,growth,artigo,53,2,0,,linkedin
67,dextra-digital,,2020-09-01,"Vai ter DevCamp, sim! Agora serão 4 dias, 4 trilhas, + 12 horas de conteúdo, tudo online e gratuito nos dias 22 a 25 de setembro.Garanta sua participação no DevCamp Live! #DCLive2020'",técnico,DevCamp ,evento próprio,80,1,0,#DCLive2020',linkedin
68,dextra-digital,,2020-08-02,"Agilidade nos negócios incentiva a criatividade (sem medo de errar), realiza uma comunicação clara e monitora os riscos internos e externos. Além disso,  promove a desburocratização dos processos, que é essencial para o sucesso do negócio. Saiba mais sobre Agile Business no nosso artigo de hoje escrito pelo nosso dextrano, Marcelo Furlan.'",negócios,agile business,artigo,53,0,0,,linkedin
70,dextra-digital,,2020-09-01,"Live Mutant ON! Gabriel Pensador, Negra Li e mais atrações! Ta rolando agora neste link: mutanttheritual.com'",branding,Rebranding da Marca,post,4,0,0,,linkedin
71,dextra-digital,,2020-09-01,Trabalhar com propósito é o que nos faz ser a melhor empresa de TI para se trabalhar! #vempradextra',employer branding,propósito,post,75,0,0,#vempradextra',linkedin
72,dextra-digital,,2020-08-02,"Embarcamos no desafio de ajudar a Catho a se preparar para o futuro, que é cada vez mais digital. O resultado: um app modernizado, aumento no engajamento de candidatos e na retenção dos clientes.Confira o case completo!'",negócios,estratégia digital,artigo,44,0,0,,linkedin
73,dextra-digital,,2020-09-01,"Live Mutant! Negra Li, Paulo Miklos e Di Ferrero confirmados! E vem mais gente por aí!Acesse o site e confirme sua presença!'",branding,Rebranding da Marca,post,13,0,0,,linkedin
74,dextra-digital,,2020-08-02,"Explorar de maneira inteligente e articulada as ações que nascem nas áreas de inovação e marketing, com times que tenham agilidade para entender o modelo de negócio e criar planejamentos rápidos para validação das hipóteses promovem resultados positivos para a concretização da Estratégia Digital da sua empresa. O nosso Diretor de Inovação, Bill Coutinho, irá conversar com: Beatriz Nantes, Diretora de Operações na Empiricus; Eber Machado Duarte, CTO da Catho; Andre Petenussi, CTO da Localiza sobre essas e outras provocações. Garanta sua inscrição:'",negócios,estratégia digital,artigo,13,0,0,,linkedin
75,dextra-digital,,2020-09-01,Já sabe da novidade? Vem conferir! Live 20.08.20 https://lnkd.in/dDukmc8',branding,Rebranding da Marca,post,94,1,0,,linkedin
77,dextra-digital,,2020-08-02,"Ter squads ou ter um app não é mais suficiente. É preciso explorar de maneira inteligente e articulada as ações que nascem nas áreas de inovação e marketing, com times que tenham agilidade para entender o modelo de negócio e criar estratégias rápidas para validação das hipóteses, utilizando metodologias de user experience, design thinking, passando por squads ágeis, devops, data science, product growth e outras ações emergentes. Alinhar essas frentes é o caminho para concretizar em termos digitais os objetivos da estratégia de negócio.Para esse papo o nosso Diretor de Inovação, Bill Coutinho, irá conversar com: Beatriz Nantes, Diretora de Operações na Empiricus; Eber Machado Duarte, CTO da Catho; Andre Petenussi, CTO da Localiza. Garanta sua inscrição:'",negócios,estratégia digital,webinar,20,0,0,,linkedin
78,dextra-digital,,2020-07-03,"Acabamos de começar! Para esse papo sobre ""A Nova Relação do Consumidor"", o nosso Diretor de Inovação, Bill Coutinho, irá conversar com:Rafael Soares Gonçalves, CX Strategy & Experience Design Director na Mutant, Renata Zepelini, IT Director do McDonald\'s / Arcos Dorados, Jorge Braga, CXO da Claro Brasil. Participe:'",negócios,Relação do Consumidor,webinar,46,0,0,,linkedin
81,dextra-digital,,2020-07-03,"Hoje é dia de #tbt desse projeto do Grupo Travelex Confidence, maior grupo de câmbio do Brasil e líder no mercado de soluções de pagamentos e remessas para o exterior, onde conseguimos consolidar a atuação digital do grupo, além da otimização das suas estratégias. Saiba mais:'",negócios,estratégia digital,case,37,0,0,#tbt,linkedin
82,dextra-digital,,2020-06-03,"O que o novo normal, pós pandemia, nos aguarda ainda é incerto, mas o isolamento social já nos deixou claro a urgência da constante Transformação Digital. Conheça um pouco mais as novas tendências de comportamento com a nossa live “O Século 21 Começa Agora!“ com Renata Zilse Borges - UX Design Manager da Dextra Digital, Pavlos Dias - Head de Inovação da Faber Castell, Rodrigo Modesto Duclos - Chief Digital Officer da Claro Brasil e Bill Coutinho - Diretor de Inovação da Dextra Digital:'",negócios,tendências de comportamento,webinar,47,0,0,,linkedin
83,dextra-digital,,2020-09-01,"Falta uma semana para nossa Live! É só clicar, deixar seu email e garantir a sua vaga!'",branding,Rebranding da Marca,post,30,0,0,,linkedin
84,dextra-digital,,2020-07-03,"Achou que não ia rolar o DevCamp esse ano, né? Mas, a gente se reinventou para trazer o melhor conteúdo pra você! Não vai ficar de fora, né? Se inscreva para receber as novidades que estamos preparando pra vocês: https://devcamp.com.br #devcamplive 🤘💻'",técnico,DevCamp ,evento próprio,81,2,0,#devcamplive,linkedin
86,dextra-digital,,2020-06-03,"A adaptabilidade é uma das principais características que devemos ter se quisermos nos manter em constante evolução. Esse período nos mostrou ainda mais a sua importância focando os esforços no propósito. O ágil é a melhor forma de conectarmos esses pontos. Confira esses e mais outros assuntos que rolaram na nossa live de ontem com Bill Coutinho, Diretor de Inovação da Dextra Digital, Carlos Alberto Jayme, Diretor de Crescimento da Dextra Digital, Roberto Rubio Potzmann, CTO da Rumo, Boanerges Corado Neto, Diretor Geral da Sascar:'",negócios,agile business,webinar,33,0,0,,linkedin
87,dextra-digital,,2020-08-02,Join the revolution! SAVE THE DATE 20.08.2020',branding,Rebranding da Marca,post,111,0,0,,linkedin
89,dextra-digital,,2020-07-03,"Notícia incrível do nosso time dextrano. Erick Zanardo e Tyemy Kuga conquistaram o primeiro lugar no Hackathon Internacional de Flutter organizado pela Flutter Community. Parabéns pessoal, mais um reconhecimento da nossa excelência técnica \\o/ Saiba mais sobre o projeto:'",técnico,flutter,post,151,2,0,,linkedin
